id;entity;apprefmngfrm;apprefmngdomain;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Tunisian Dinar synergize;Rubber Bedfordshire;quantify;2020-11-06T10:48:43;2020-11-06T10:04:28;84054;49225;Savings Account content-based;68794
2;bypass Devolved Customizable;RAM Home Loan Account Lebanese Pound;mesh Legacy;2020-11-05T21:37:57;2020-11-06T11:59:18;13609;35030;neural;38134
3;deposit throughput Steel;Buckinghamshire Grocery;Sierra Leone;2020-11-05T19:00:50;2020-11-06T05:08:11;33087;41834;Baby;21633
4;Gloves ivory;Customizable bus;Investment Account;2020-11-05T13:36:01;2020-11-05T19:59:59;34143;4303;secured line Credit Card Account parsing;51583
5;Self-enabling Auto Loan Account eyeballs;orange Intuitive Configurable;experiences;2020-11-06T04:12:02;2020-11-06T04:26:36;97506;18892;leading-edge Tuna Web;49222
6;repurpose web-readiness Savings Account;magnetic compressing;Web;2020-11-06T04:44:03;2020-11-06T00:17:07;51966;40714;Functionality solid state Human;23512
7;clicks-and-mortar;global;web-enabled New Hampshire;2020-11-06T10:05:32;2020-11-05T19:49:08;67939;65117;Cambridgeshire;73064
8;Rustic Agent Borders;Health firewall;Assurance Borders;2020-11-05T16:29:44;2020-11-06T11:57:57;46336;49181;blue;56502
9;Industrial Ergonomic Steel Bike;Central Bahamian Dollar back up;Avon azure;2020-11-06T11:04:12;2020-11-05T18:56:10;70761;60028;reboot;29470
10;Island multi-byte AGP;protocol Infrastructure orange;matrix Bond Markets Units European Composite Unit (EURCO);2020-11-06T03:02:14;2020-11-05T23:10:30;85926;88985;metrics Practical;62841
