id;name;wlmid;afsid;invtype;processdescr;notifgrp_1_emailaddr;notifgrp_2_emailaddr;notifmsgtempl
1;cultivate Intelligent Frozen Salad Computer;53689;29151;IDARI;plum withdrawal;Agent;generate Auto Loan Account Afghani;Awesome experiences
2;Strategist;18962;98628;IDARI;Qatari Rial;withdrawal Harbors Canyon;Car target bandwidth-monitored;Awesome Metal Computer Supervisor
3;Comoros;15932;18844;IDARI;Optimization functionalities;Triple-buffered integrate;Configurable software Meadow;Technician Naira
4;Money Market Account channels;52714;56358;GENEL;Yuan Renminbi River compressing;Sleek Granite Soap Mill sexy;Functionality index;Tasty Soft Shirt bypass
5;Point connecting;76614;3099;GENEL;Unbranded Balboa US Dollar;Granite Brazil;Minnesota;iterate
6;Taiwan Assistant;26738;37981;IDARI;utilize;Lead;copying ability Research;Product
7;Planner web-readiness;72606;66049;IDARI;HDD synthesizing;Ergonomic Wooden Pizza;programming magenta;iterate Guarani digital
8;synthesizing Investment Account Buckinghamshire;85157;82614;IDARI;Avon instruction set Personal Loan Account;Israel;Fully-configurable;Right-sized
9;streamline motivating enable;34058;52690;IDARI;invoice Bike Incredible;haptic;Credit Card Account Western Sahara Garden;Guinea National
10;hack solutions;97850;35552;GENEL;incentivize;haptic Fish cohesive;payment Home Michigan;withdrawal
