id;matchid;matchctxid;matchwltype;matchtxnid;matchscore;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;94608;51502;Incredible Cotton Pants Utah Ergonomic;1732;63960;2020-11-06T04:11:25;2020-11-05T18:28:14;24588;88190;Virgin Islands, U.S. Operations;48754
2;67260;88471;override Cambridgeshire;64631;86088;2020-11-06T04:38:19;2020-11-05T17:00:53;69851;14754;Optimized;30231
3;86800;76324;web-readiness;46405;69318;2020-11-06T03:20:50;2020-11-06T02:38:45;25125;14758;Principal Incredible Metal Fish;86703
4;36123;47437;hack Oklahoma copy;433;13377;2020-11-05T22:59:53;2020-11-05T14:24:58;2401;31991;Re-engineered XSS Computer;30383
5;85428;17169;contextually-based matrix;17174;23435;2020-11-06T09:34:54;2020-11-06T04:53:19;98909;47635;olive scale;27659
6;97367;91463;Rhode Island Chicken;9954;46039;2020-11-06T08:06:47;2020-11-06T09:09:11;19045;88428;Tennessee bandwidth;35552
7;91506;81062;granular;99075;77400;2020-11-06T05:06:59;2020-11-05T15:11:07;70785;30196;Washington Quality calculating;6679
8;94027;75587;quantifying;70893;72111;2020-11-05T15:18:43;2020-11-06T01:43:46;23159;39491;New Jersey Electronics;18249
9;74296;27215;Saint Pierre and Miquelon;28640;6527;2020-11-06T11:38:54;2020-11-05T22:33:35;65027;21713;plum;79744
10;79987;68183;quantifying;92813;13643;2020-11-06T12:06:58;2020-11-05T19:29:56;62088;55786;Ferry;734
