id;descr;createdt;updatedt;createusr;updateusr;wfstate
1;Credit Card Account open-source;2020-11-05T21:34:35;2020-11-06T07:08:37;85536;55409;invoice Small withdrawal
2;withdrawal systemic wireless;2020-11-06T03:26:34;2020-11-05T21:48:07;7511;37023;Investment Account
3;Customer;2020-11-06T05:21:38;2020-11-06T02:47:18;95116;25946;Keyboard
4;Massachusetts HTTP;2020-11-06T05:57:09;2020-11-05T13:51:44;86220;66052;Alabama channels navigating
5;Computer Lesotho;2020-11-05T18:49:22;2020-11-05T20:49:24;18775;72192;Polarised incentivize
6;leverage;2020-11-06T12:12:49;2020-11-05T15:30:17;10943;98854;Granite
7;Intelligent Soft Hat;2020-11-05T23:59:26;2020-11-06T02:01:50;28530;12412;Armenia Maldives vertical
8;Inlet Borders;2020-11-05T15:27:17;2020-11-05T14:14:36;31806;13139;e-business Generic Granite Salad SDD
9;Product;2020-11-06T04:38:26;2020-11-06T10:56:07;95608;62622;intuitive Strategist grow
10;Pakistan syndicate;2020-11-05T22:07:51;2020-11-05T22:32:17;32958;13692;Canyon background
