id;code;name;descr;appscript;type
1;Gorgeous Wooden Fish;Avon neural neural;mobile;Accountability;VIEW
2;Shirt whiteboard THX;Somali Shilling;Corporate;Wooden Investment Account zero tolerance;SQLSELECT
3;web-readiness Secured;parsing;calculate relationships synthesize;Canadian Dollar;VIEW
4;Cambridgeshire Architect Cambridgeshire;lime;Home Loan Account Money Market Account;holistic;VIEW
5;Pula payment Bahraini Dinar;Handcrafted Auto Loan Account;purple Tactics;Buckinghamshire Sleek Granite Sausages generating;SQLSELECT
6;invoice;Malta analyzer;User-centric;generating;SQLSELECT
7;generate Tokelau Shoes;parse Cambodia;incubate;leverage Beauty;VIEW
8;reboot Cambridgeshire Uzbekistan Sum;users;Generic Rubber Car;Idaho Distributed Credit Card Account;VIEW
9;ROI Interactions;Planner transmit Mouse;interface Arkansas;navigating systems Mission;VIEW
10;Avon SMTP Jewelery;Salad black next-generation;transmit Licensed Wooden Gloves;fuchsia Saint Kitts and Nevis Dynamic;VIEW
