id;code;name;descr;applyonwlfields
1;Balanced reboot;Generic deposit;bi-directional;Technician connecting COM
2;Beauty Intelligent Incredible Metal Gloves;sky blue payment National;Auto Loan Account Berkshire payment;Web withdrawal Associate
3;violet;alarm North Carolina Tasty;back-end protocol;Borders background white
4;indexing connecting turquoise;invoice;Officer;Michigan neural-net Granite
5;Savings Account Customer;back up;Borders;synthesize workforce neural
6;Netherlands Antillian Guilder Handmade Rubber Computer directional;Grocery Mission;Peru Tools partnerships;Malawi
7;Associate Pennsylvania robust;mobile green;compress;Bedfordshire turquoise
8;Industrial;optical;Islands;Concrete
9;strategize Personal Loan Account;Kids;Pants data-warehouse;attitude-oriented silver
10;Pines;Checking Account;Nebraska USB;Somali Shilling
