id;isocode;name;localname;isocode_2;numcode
1;Garden;Granite Assistant;Investor red;Avon;40517
2;Denmark Pizza Checking Account;Kids SAS transmitter;Rubber redundant;Iowa;18963
3;Ireland;Guadeloupe;Awesome Cotton Mouse Frozen mint green;intranet;881
4;CSS;Incredible Cotton Keyboard Division port;project Electronics;Director disintermediate Australian Dollar;69307
5;Vision-oriented Mayotte sensor;capacitor B2C;Seamless CFP Franc Gorgeous;Investment Account Sleek;5938
6;Virtual;supply-chains Movies;Rubber Awesome Metal Bacon connect;compress Nuevo Sol;64547
7;Factors initiatives;Functionality violet cultivate;Lead contextually-based;Pines Savings Account;5038
8;Strategist;Multi-tiered;mesh Estonia;orange Reverse-engineered;12117
9;Small Granite Bike Communications;Frozen SQL;withdrawal online;Macedonia virtual;49388
10;Optional;West Virginia;compress;Suriname Refined Granite Chips Senior;27797
