id;code;name;descr;apprefcode;systype;appdomaincode;connecttype;connectstr
1;Integration Consultant Consultant;Azerbaijanian Manat monitor Frozen;Sleek web-enabled;Security Strategist;EXTERNAL;virtual;Tactics Directives;Gorgeous Computers
2;silver;Money Market Account monitor Handmade Soft Chicken;Keyboard value-added;Marketing lavender quantify;INTERNAL;United Arab Emirates;Rhode Island Falls;driver Illinois
3;methodologies Garden cross-platform;Gloves Uzbekistan Sum;Personal Loan Account;USB JBOD District;INTERNAL;Steel Refined;SSL;program program Missouri
4;Nicaragua Brazil Customer;Virtual Operative;navigate Synchronised;Bedfordshire;INTERNAL;wireless;Handmade Cotton Computer collaboration;Handcrafted
5;aggregate;firewall TCP synthesize;Namibia;Generic Frozen Pizza;EXTERNAL;intranet SMS deposit;partnerships;indigo efficient
6;back up mint green;niches;Accountability Division Lakes;Diverse Cambridgeshire Corner;EXTERNAL;invoice Awesome Steel Keyboard Zambian Kwacha;Sleek;grow Unbranded Fresh Cheese innovate
7;input;Ball;tan Central;hacking Mobility;EXTERNAL;Senior;navigate mesh interfaces;auxiliary compress Home Loan Account
8;exuding Team-oriented implement;firewall;portals firewall global;Table;INTERNAL;Human;maximize Steel Jewelery;Orchestrator hacking
9;Plastic;Investment Account CSS;Bedfordshire;mobile;INTERNAL;override groupware extend;programming;TCP Cliff Sleek Frozen Bike
10;task-force compressing program;Handmade Senior;4th generation green;firewall B2B;EXTERNAL;Congolese Franc Plastic;object-oriented parsing;Small Plastic Mouse Savings Account
