id;code;afsid;name;title;descr;linktype;appreflinkurl
1;Money Market Account;12726;Shoes;turquoise;Fresh lime back-end;INTWEBLINK;Indiana index
2;Rubber magenta Shirt;71671;Iran;Jewelery flexibility;Money Market Account Handmade;EXTWEBLINK;Palestinian Territory hack
3;lime Global;54007;Fantastic Buckinghamshire Cotton;architect Health;optical Infrastructure Soft;EXTACTION;bleeding-edge
4;Island Sleek Metal Gloves;41322;Gorgeous;invoice strategy;Metal Coordinator Ways;EXTACTION;Tonga
5;extranet Aruba Investment Account;51912;Branding;sensor Markets Gorgeous;Cambridgeshire compress;INTWEBLINK;blue
6;Factors Health invoice;19317;Arizona;Myanmar Swaziland Nakfa;Analyst;INTREPORT;National envisioneer Fork
7;Kids Wisconsin;43010;mission-critical;Philippines violet;Metal Sleek;INTREPORT;Accountability
8;online;26839;Handmade Plastic Keyboard Producer primary;vortals vortals Tasty;Small Brand IB;INTACTION;Plain Concrete
9;Human compressing Internal;20112;Product Operations;Concrete;Awesome Concrete Keyboard Awesome;EXTACTION;Gorgeous Wooden Car ADP Iraqi Dinar
10;Cordoba Oro deposit;78342;vortals primary Intelligent Steel Keyboard;Practical Metal Shoes action-items out-of-the-box;online virtual;INTACTION;open system backing up
