id;code;name;descr;publishercat;publisherorgid;publishername;publishformat;filteringtype;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Interactions;Open-source Optional incentivize;Ethiopian Birr multi-byte connecting;generating Rustic Frozen Ball Sports;49228;Concrete copying Officer;indexing Moldovan Leu Soft;Computers Accounts Open-architected;2020-10-18T20:32:58;2020-10-18T16:39:54;94294;65550;contingency Cross-platform;Representative hard drive
2;Global Bike Ergonomic;Savings Account Buckinghamshire;Assistant;Devolved SAS generating;15702;East Caribbean Dollar;Soft;Future-proofed;2020-10-19T10:15:42;2020-10-18T17:54:13;45281;84060;Sports;Beauty
3;definition Buckinghamshire web-readiness;strategic Consultant Paradigm;white Crossing;Virginia;18651;integrate Belgium;Table parallelism;out-of-the-box;2020-10-18T18:07:24;2020-10-19T10:56:26;57856;99999;Borders;reboot
4;Nepalese Rupee Dominican Peso;Alaska;Cheese Health action-items;Chair Automotive quantifying;58724;bypass Meadows Granite;pixel concept Handmade Soft Sausages;Ergonomic;2020-10-19T04:46:26;2020-10-19T01:06:04;18718;97554;auxiliary;neutral coherent
5;transitional;Savings Account Optimization;rich invoice Corners;deposit Research Uganda Shilling;73722;Comoro Franc overriding Toys;Global Small Metal Table input;real-time Berkshire;2020-10-18T14:46:41;2020-10-18T20:02:19;66887;7323;Canadian Dollar;red Investor
6;database seize;markets;haptic proactive;Steel Tuna;95167;e-business;array;interface Security Home Loan Account;2020-10-19T12:24:48;2020-10-19T06:58:42;89566;77621;Drives Senior transmitting;capacitor Bahraini Dinar
7;human-resource;Executive;Expressway Books digital;back-end Markets;16609;SDD Outdoors Lakes;Investment Account;Virginia;2020-10-18T20:26:39;2020-10-18T22:16:33;60024;12748;South Africa;policy incentivize Cambridgeshire
8;Soft Awesome deposit;copy;HDD seamless;Health clicks-and-mortar orchid;55811;productize;Generic Metal Fish alarm;backing up Assurance Beauty;2020-10-19T12:18:13;2020-10-18T20:49:30;67964;94229;HTTP;coherent Communications generating
9;target;Licensed Wooden Chair;Indiana Dynamic Global;Bacon;96596;best-of-breed Extension;architect Generic Soft Gloves Poland;Shirt Beauty;2020-10-19T07:43:17;2020-10-18T22:21:04;59364;36563;Savings Account generate;Intelligent Concrete Bacon Technician Cross-group
10;transmit;mesh;Cambridgeshire;Product;46607;azure Netherlands Antilles;Internal Kids;Identity;2020-10-19T10:38:24;2020-10-18T22:34:11;41525;47315;payment Health;parsing parse Administrator
