id;jobname;apprefid;srcdataprofile;tgtdataprofile;afsid;srclocurl;tgtlocurl;srcconntype;tgtconntype;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Tactics;clicks-and-mortar Handmade;feed;programming Keyboard motivating;77154;middleware Rustic Plastic Towels;Legacy SSL Tenge;sexy out-of-the-box HDD;Towels Incredible Cotton Towels leverage;2020-11-06T01:11:42;2020-11-06T05:41:51;19275;66153;optical;93840
2;Practical Fresh Computer Alaska;extensible Licensed deploy;transmitting Dale Sleek Granite Chair;reboot;96476;interface lavender Sleek Cotton Mouse;pixel;Haven Paraguay Pitcairn Islands;regional;2020-11-05T12:51:12;2020-11-06T06:24:53;83063;41990;engineer;32144
3;interface;strategize;ADP;mesh Manager;98401;models enable;Swiss Franc dynamic;knowledge user Soap Infrastructure;Handmade;2020-11-06T04:50:40;2020-11-05T12:07:22;35065;76699;Soft pixel Security;39152
4;integrated;GB model neural;blue;Russian Federation;38559;virtual;Bedfordshire Senior;transmit;Direct;2020-11-06T09:49:10;2020-11-05T21:53:24;98956;53443;Rustic Fresh Shirt;79574
5;Planner;Colorado purple Soap;USB;CSS;88683;Architect 1080p Data;Alaska Berkshire aggregate;optimize leverage Personal Loan Account;systems Dynamic virtual;2020-11-05T12:15:36;2020-11-05T20:16:52;72886;1171;Quality;74609
6;programming Agent online;Director;Gloves Outdoors HDD;capacity Oklahoma;36489;redundant;black;Connecticut Rustic;target;2020-11-06T02:52:44;2020-11-06T06:10:59;17589;26351;robust Senior Baby;94375
7;solution Computer Handcrafted;lavender bandwidth interfaces;Table solid state;Implementation Grass-roots Investment Account;3991;Chips EXE;Borders Haven Pizza;Kids dedicated Clothing;Cotton modular deposit;2020-11-05T18:29:08;2020-11-05T18:32:50;72883;12988;Pakistan Rupee transmit;35534
8;array Moldovan Leu Metal;supply-chains pixel Cheese;project SCSI Integration;3rd generation Dynamic Dong;76410;Producer Organized;Investment Account;Sleek Wooden Mouse Unbranded;salmon Hawaii Idaho;2020-11-06T04:08:43;2020-11-05T20:04:02;23735;54746;withdrawal Liaison;49504
9;Quality Connecticut rich;synthesize;product Directives;Lek PCI;34414;viral;deploy;Tasty bandwidth benchmark;Forward Mouse;2020-11-06T03:57:04;2020-11-06T09:50:07;64060;480;primary virtual users;23665
10;target Views service-desk;Garden bypass methodology;gold;Metal;2171;Credit Card Account Credit Card Account viral;Sudanese Pound;global;disintermediate Tasty Soft Gloves extensible;2020-11-06T01:43:10;2020-11-05T19:50:11;4067;88669;monitor contingency;69586
