id;code;name;descr;apprefhandler;afsid;afmid;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Cambridgeshire;Arkansas Regional Licensed Steel Table;violet Norway Colorado;infomediaries payment;23836;8360;2020-11-06T03:34:59;2020-11-05T20:13:59;74965;94671;Cheese Directives Alaska;10104
2;black THX;generating reboot;Tasty Team-oriented withdrawal;Sleek synergize input;52275;31956;2020-11-06T07:40:04;2020-11-06T04:28:18;57973;39680;monitor invoice;18016
3;Refined Soft Soap;Handmade Rubber Ball Practical Frozen Table compressing;Operative Computer;web-readiness withdrawal;34233;25816;2020-11-05T15:59:52;2020-11-06T01:57:42;64529;83949;Wooden;80754
4;SAS Pants;online haptic Music;deposit;protocol Berkshire open architecture;29999;98963;2020-11-05T22:08:18;2020-11-05T20:51:44;5814;36538;superstructure Money Market Account;13824
5;transparent;Idaho Agent homogeneous;Beauty;calculating;62694;31890;2020-11-05T23:43:21;2020-11-06T05:42:05;90879;29795;Practical Wooden Table;81345
6;Montana Utah withdrawal;fuchsia Beauty;Handmade International e-tailers;initiative Customer;45438;52754;2020-11-05T23:38:33;2020-11-06T02:45:21;42357;39523;Savings Account;34646
7;Kuwait Grass-roots Connecticut;Versatile;Table Center;Toys Books;42896;71857;2020-11-05T17:57:03;2020-11-06T01:45:54;64811;24282;bus Steel Investment Account;96276
8;Steel 5th generation Licensed Plastic Soap;Anguilla out-of-the-box;Chips;Communications Savings Account CFA Franc BEAC;68182;1944;2020-11-05T15:00:31;2020-11-06T12:05:54;20769;66565;bypassing;797
9;Unbranded Manager parsing;Internal Human;Games customer loyalty hard drive;Tasty Plastic Pizza;26978;93551;2020-11-06T09:01:13;2020-11-06T02:08:46;70198;6610;client-server;98533
10;brand;Brand Cambridgeshire;auxiliary payment;logistical Cambridgeshire Clothing;24393;47971;2020-11-05T17:09:52;2020-11-06T10:03:58;56432;61383;matrix;94595
