id;title;descr;apprefclsid;apprefformid;appreflinkurl
1;Director Fresh;deliver US Dollar;Chad deposit;Savings Account;Optimized
2;Electronics;Tuna;quantifying;Rwanda;Boliviano Mvdol Interactions reboot
3;models;white Central African Republic Handmade;Granite deposit invoice;Outdoors Cambridgeshire;Steel
4;Graphic Interface;Streamlined;Ergonomic Wooden Pizza;optical UIC-Franc Consultant;Bulgaria
5;Cotton Car Soft;input override Applications;Awesome Frozen Bike Licensed Rubber Computer Orchestrator;Turks and Caicos Islands Orchestrator;PNG calculating Frozen
6;Delaware;paradigms Tools;Soft Delaware;Intelligent;SSL
7;Producer;Bermuda database olive;utilisation user-centric;implement systems;leading-edge Malagasy Ariary Table
8;focus group;Soft Ohio synthesize;Oklahoma mobile International;Lithuanian Litas Tuna Soft;Handmade Wooden Fish
9;magnetic Rubber;CFA Franc BCEAO Web Jewelery;Steel Legacy Wooden;SMS Investment Account;Plastic Kids invoice
10;National;dot-com architect array;Directives Borders;Nauru deposit Security;synthesizing User-centric
