id;memid;createdt;updatedt;createusr;updateusr
1;13155;2020-11-05T13:31:55;2020-11-05T14:57:19;97766;53281
2;70697;2020-11-05T14:59:55;2020-11-05T18:05:13;50736;12243
3;96741;2020-11-05T17:36:13;2020-11-06T07:26:11;51800;75296
4;17587;2020-11-05T18:40:34;2020-11-05T16:05:48;9270;53113
5;69882;2020-11-06T03:02:35;2020-11-05T21:03:58;33312;32870
6;14308;2020-11-05T17:28:17;2020-11-06T06:17:32;65548;14431
7;64132;2020-11-06T08:53:24;2020-11-05T18:28:58;91951;88526
8;71022;2020-11-05T13:32:14;2020-11-06T07:15:47;71968;23628
9;74412;2020-11-05T17:33:13;2020-11-06T11:28:30;73015;72851
10;43004;2020-11-05T18:40:16;2020-11-05T17:03:42;11611;56396
