id;appmsgtype;apprefctxinfo;appmsgcode;langisocode;appmsgtxt;msgseverity
1;Clothing;RAM;Cheese maroon;analyzing bus;back-end Soft Utah;5433
2;Idaho Automotive;Inverse Isle;Agent;Metal leverage;GB;83009
3;e-business;Principal;turquoise Sleek deposit;indexing Clothing;homogeneous Berkshire Wyoming;13624
4;Metal Investor Pass;National program New Taiwan Dollar;olive;index optimizing;Engineer;12580
5;channels;paradigm intangible Technician;Bedfordshire Intelligent;Data Handmade Steel Computer Analyst;programming;25088
6;Architect Regional;installation;synthesizing Baby;Investor quantify;initiative;37710
7;bypassing;orange monitoring Handcrafted;initiative;Berkshire Maine;scale;76181
8;AI killer HDD;parse;Sierra Leone optical;software channels virtual;Director;70711
9;content-based monitor payment;Handmade;Yemeni Rial Unbranded Lights;mint green Checking Account;Licensed copying;46828
10;Congolese Franc Frozen Jewelery;Global;Stream;Toys Table;Product Engineer;76559
