id;code;name;descr;apprefhandlerfrm;apprefhandlerdom;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Solutions;purple;Fish Triple-buffered Borders;Facilitator sky blue;Frozen Extended deposit;2020-11-05T16:42:45;2020-11-06T04:10:54;9247;24167;Cliffs;42335
2;France Generic;Investment Account parse French Southern Territories;Bedfordshire Sharable magenta;unleash Dominican Peso;Handcrafted Handcrafted bottom-line;2020-11-05T20:52:41;2020-11-05T21:48:48;72207;78810;killer hack;74250
3;Reunion Personal Loan Account;withdrawal invoice;Factors withdrawal content;Refined Rubber Towels Arizona users;Music Turks and Caicos Islands Health;2020-11-05T13:25:52;2020-11-05T20:00:23;51760;678;copy Table vortals;68740
4;customer loyalty calculating;deliverables;Internal Product solid state;asymmetric RSS Keyboard;forecast Pines generating;2020-11-05T13:47:22;2020-11-05T17:17:14;24425;70471;Nepalese Rupee;51052
5;Tactics;Generic Buckinghamshire;Cambridgeshire Team-oriented;encoding;Tasty Rubber Towels metrics;2020-11-06T01:06:37;2020-11-06T09:39:04;32917;99542;Tactics withdrawal Decentralized;24124
6;Orchestrator Mouse Human;Engineer Parkways CSS;mint green Wells;Persevering;panel Group bypass;2020-11-06T04:59:39;2020-11-06T02:32:48;47920;12688;24/7 Fantastic Rhode Island;87738
7;Orchestrator Sports Solomon Islands;Sports maximized Mobility;envisioneer;Afghani SCSI GB;Coordinator;2020-11-05T22:03:13;2020-11-05T13:34:34;3902;55020;Shirt Facilitator;46528
8;Unions program;visualize East Caribbean Dollar Borders;productize Rhode Island;payment withdrawal;communities;2020-11-06T06:19:40;2020-11-05T23:23:46;78364;55337;Arizona;28477
9;transition Supervisor;Credit Card Account Villages Open-source;e-business Awesome neural;Netherlands Antilles;neural-net bandwidth-monitored;2020-11-05T17:39:26;2020-11-05T23:26:04;34973;32187;Borders strategy;32358
10;Handmade Concrete Chips;Technician Focused;Locks Industrial;invoice Island Sports;bypass;2020-11-05T18:32:43;2020-11-05T14:07:43;79726;10960;functionalities digital Checking Account;50698
