id;street_address;postal_code;city;state_province;country_id
1;Secured productize;schemas;Octaviafurt;olive Ghana Games;1
2;users Savings Account;back-end green virtual;Garretside;Peso Uruguayo Uruguay Peso en Unidades Indexadas Wisconsin Frozen;2
3;auxiliary connecting explicit;Legacy harness port;Sauerburgh;e-markets Bike parse;3
4;Car Granite stable;Outdoors;Brennanville;Steel SCSI;4
5;Concrete sky blue;Bolivar Fuerte backing up;Boganmouth;Forward Refined Frozen Cheese Mali;5
6;Checking Account analyzer Licensed Fresh Salad;open-source help-desk;South Royce;Illinois Business-focused;6
7;RAM Money Market Account;Algeria Austria solutions;New Stellashire;mobile;7
8;redundant Pataca;turn-key Licensed;Lunamouth;fuchsia Technician;8
9;calculating Checking Account;Movies Democratic People's Republic of Korea synthesizing;North Pete;embrace Forward;9
10;1080p;TCP Mauritius;Ratkebury;teal;10
