id;code;name;descr;wlfieldlist;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;implementation;panel mobile Organized;Supervisor models;Buckinghamshire Mountain Supervisor;2020-11-05T20:46:30;2020-11-06T07:58:20;21442;26813;synthesizing Usability;6110
2;Liaison;compressing Union markets;Architect Cuban Peso Peso Convertible Developer;Handmade;2020-11-05T18:40:00;2020-11-05T17:26:26;46723;10071;hub primary Solomon Islands;5506
3;e-tailers;Principal;24/7 embrace Auto Loan Account;architect hack markets;2020-11-05T15:01:39;2020-11-06T07:22:43;56804;40482;5th generation toolset;59288
4;intranet payment dynamic;Fantastic Fresh Keyboard Pants;frictionless Steel;Guinea Franc Congolese Franc extranet;2020-11-05T16:33:47;2020-11-06T01:50:20;17267;83914;Unbranded client-server;34039
5;neural Shoes;invoice Credit Card Account Australia;Mouse;Buckinghamshire Sports;2020-11-06T04:18:24;2020-11-05T18:44:14;41203;10649;Assistant;16308
6;infomediaries Beauty Grenada;protocol;Paradigm functionalities SSL;Cheese;2020-11-05T17:35:08;2020-11-06T00:37:27;93474;5502;grid-enabled;33453
7;transitional;invoice e-commerce;customized;implementation next-generation quantify;2020-11-05T21:19:53;2020-11-05T23:09:42;52279;9327;Home Loan Account bypass Bacon;20699
8;Burgs Multi-channelled;Generic;Ball focus group Designer;end-to-end;2020-11-05T23:49:50;2020-11-06T06:05:19;54445;53727;Arkansas HTTP Corporate;67374
9;matrices Fish Chair;architect Credit Card Account;integrated AI sexy;mindshare;2020-11-05T13:05:56;2020-11-05T14:56:06;21160;80804;hacking tan Estate;42563
10;Configuration Baby;plug-and-play Architect Metical;Paraguay bus;index;2020-11-05T17:48:41;2020-11-05T21:37:01;87396;74355;Manager;82196
