id;etljobstart;etljobsessiond;srcfileurl;tgtfileurl;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;2020-11-06T00:30:59;Bedfordshire ADP Corporate;parsing Romania;RSS Canadian Dollar;2020-11-05T15:05:26;2020-11-06T06:21:14;2526;23556;Coordinator;27640
2;2020-11-06T03:11:58;Central;motivating;overriding driver;2020-11-06T08:22:48;2020-11-05T19:03:44;71803;13905;Movies Technician open-source;76237
3;2020-11-06T12:26:27;Fantastic Granite Ball navigating;pink Borders;neutral National;2020-11-06T07:56:05;2020-11-06T06:36:40;43833;9167;Small Cotton Sausages hack;79697
4;2020-11-05T15:30:35;Jordanian Dinar granular;Quality;Jersey;2020-11-06T10:51:40;2020-11-05T17:23:54;17935;13;EXE;28312
5;2020-11-05T21:04:26;input quantify Strategist;Global synthesize Licensed;Intelligent alarm deposit;2020-11-05T15:08:46;2020-11-05T23:30:29;6865;61569;Representative e-business;93933
6;2020-11-06T06:20:25;transparent Multi-lateral strategy;Paradigm Seamless array;Cambridgeshire user-centric;2020-11-06T06:27:36;2020-11-05T14:10:30;94588;28390;Unbranded system engine visionary;78887
7;2020-11-06T12:00:44;deposit;panel;Fantastic revolutionary copying;2020-11-05T18:00:40;2020-11-06T07:33:56;47329;98742;Burgs Israel Tasty Concrete Sausages;77338
8;2020-11-06T01:05:19;seize;Massachusetts Buckinghamshire;Tasty Steel Soap Credit Card Account;2020-11-06T08:20:33;2020-11-06T10:42:22;16525;76133;HDD Ergonomic Metal Table;4343
9;2020-11-05T21:27:33;e-business Product quantify;Cambridgeshire Yuan Renminbi;Checking Account Berkshire;2020-11-06T08:03:02;2020-11-05T18:12:32;99890;41374;Investment Account feed;22491
10;2020-11-06T09:26:32;connect HTTP;payment Via;Avon Liaison indexing;2020-11-05T18:02:10;2020-11-05T23:49:27;11237;81887;bus;17622
