id;name;localname;phonecode
1;Tenge parsing Tasty Frozen Mouse;bypassing;Representative Serbia networks
2;seamless GB Enhanced;e-commerce;RSS Ergonomic
3;Senior;invoice;Sausages Direct Functionality
4;Designer;Grocery Tokelau;Analyst Guarani Global
5;HTTP Ville Avon;web-enabled Steel;Practical bus
6;monitor intermediate Mobility;index 24/7;Devolved
7;Credit Card Account cross-platform invoice;payment Producer;Tools
8;grow;Identity;web-enabled Planner copying
9;Square deposit;Shoes mindshare;Croatian Kuna Delaware Generic Cotton Pizza
10;RSS collaborative New Leu;Fish Arkansas;Gibraltar Unbranded Fresh Hat Small
