id;code;name;descr
1;Taiwan;pixel Quality-focused Research;THX Beauty
2;Savings Account;Incredible;generate
3;Money Market Account microchip;didactic navigate;District Ergonomic Plastic Soap
4;RSS mesh;Hat;Summit Texas FTP
5;Baby;utilize clear-thinking;Cuba empower Dominican Peso
6;Refined;generate visualize;Assistant
7;Circle optimize Industrial;Outdoors;e-business Intelligent approach
8;Ireland Dynamic CSS;Home reboot teal;Sharable
9;New Jersey AI Cambridgeshire;calculate teal;markets application reboot
10;efficient;Games;Applications Accounts
