id;code;name;descr
1;facilitate Toys;Health visualize Credit Card Account;generating
2;Table Liaison Automotive;bandwidth;non-volatile Fantastic Oregon
3;Sports;firewall Faroe Islands application;Center alliance Practical Wooden Sausages
4;transmitting Implemented;Auto Loan Account;Assimilated
5;niches withdrawal;Cove Uganda;architectures
6;override;Functionality Directives;deposit
7;Borders JSON deposit;asymmetric Pine Cambridgeshire;optical
8;grey Investment Account Money Market Account;Toys Handcrafted;parsing
9;Granite;Sports Keys;Group Buckinghamshire Glen
10;bluetooth;Practical Concrete Sausages Avon;3rd generation Central
