id;commtitle;localcommtitle;sector;segment;traderegno;hqaddress;enterprisetype;registerdate;swiftcode;wwwaddr
1;platforms Cotton transmit;Home Loan Account;compress;Cordoba Oro Bypass programming;Dominica;Refined Rubber Car;user-centric Mouse;2020-11-05T17:02:01;niches;Ergonomic mission-critical
2;Devolved;support;zero defect;Fully-configurable THX Dynamic;Rapid SAS payment;Granite Strategist Automated;Internal Iraqi Dinar SDD;2020-11-05T23:20:12;synthesizing;bus
3;deposit;strategize value-added;white Intelligent;primary Clothing;Heard Island and McDonald Islands;Kazakhstan;Shoes;2020-11-05T20:10:53;invoice;monitor interface
4;Representative Ergonomic Interactions;synthesize architecture;Home Loan Account composite monitor;attitude-oriented Grocery;backing up Loop Ghana;online Quality;Program Junction;2020-11-05T23:04:57;Buckinghamshire JSON;Chief toolset Synergistic
5;bypassing;extend parsing;schemas Organized;systemic Borders Pine;Shoes Saint Helena Pound;parse Principal local area network;transform Central Licensed Steel Cheese;2020-11-06T08:13:04;standardization;reboot
6;silver;France;purple transmitter;Toys Factors;Dominican Republic;Hollow Buckinghamshire motivating;Metal hacking Seychelles Rupee;2020-11-05T19:28:55;PCI Customer-focused;tangible Intranet Industrial
7;Bedfordshire hard drive;mobile Handcrafted Concrete Car Quality;mobile Well reboot;Garden;Rubber Hat aggregate;architectures Intelligent Soft Keyboard;bleeding-edge;2020-11-06T00:15:03;sky blue back-end;Cambridgeshire Customer
8;Iceland parse;e-services Planner;whiteboard;Licensed River;Home Loan Account;Dynamic New Hampshire;salmon Granite;2020-11-06T08:31:56;Rand;Triple-buffered
9;Internal Optimization;Handmade;Personal Loan Account wireless Unbranded Wooden Soap;plug-and-play Rustic Director;teal;analyzer COM Kids;Kids;2020-11-05T22:15:41;Future lavender;Concrete Borders Wyoming
10;Malagasy Ariary;New Taiwan Dollar;project Texas;transmit Rubber;Virginia Kroon alarm;Frozen Garden Gorgeous Fresh Soap;mobile engage encryption;2020-11-05T13:33:45;Awesome New Hampshire;Books
