id;code;name;localname;brachtype
1;Concrete generate;Analyst Nevada transform;Applications pixel optical;azure model Architect
2;overriding Ford Personal Loan Account;cross-media supply-chains;hierarchy blue Games;Berkshire next generation help-desk
3;directional Rhode Island;well-modulated SMTP contextually-based;National Baby;Grass-roots niches input
4;Garden HTTP Solutions;Avon;Home Loan Account back-end;generate alarm Music
5;Generic Wooden Shoes;infomediaries;Washington Granite Music;program Central
6;online tan;success Home Loan Account Officer;Lao People's Democratic Republic;Music hack Representative
7;front-end Ferry;Street;South Dakota Gorgeous Granite Hat;gold
8;granular;bandwidth Gloves;deposit Ergonomic Holy See (Vatican City State);Frozen SDD Credit Card Account
9;bypassing Steel override;SCSI;Auto Loan Account cross-platform Tasty;Agent
10;hack synthesizing Manor;Customer Pants orange;interface;repurpose Paraguay Fully-configurable
