id;actionnote;scheduleddt;starteddt;finisheddt;refdoc_1_url;refdoc_2_url;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Credit Card Account GB;2020-11-05T22:34:16;2020-11-06T03:04:17;2020-11-06T00:07:37;e-services panel Inlet;Division workforce;2020-11-06T00:00:23;2020-11-06T06:19:37;16750;91039;North Dakota Integrated hacking;43117
2;Auto Loan Account Generic hardware;2020-11-06T12:06:08;2020-11-05T16:03:06;2020-11-05T22:23:36;SDD virtual;Fish;2020-11-05T13:25:56;2020-11-06T05:19:08;82382;69285;programming;77085
3;XML;2020-11-05T19:59:11;2020-11-06T05:43:03;2020-11-05T23:35:14;clear-thinking monitor;capacitor;2020-11-05T21:11:44;2020-11-05T13:09:14;53281;79720;Handmade Soft Hat;29426
4;mobile Direct evolve;2020-11-05T18:28:57;2020-11-06T09:15:18;2020-11-06T10:43:01;infrastructures hub;Ferry Vision-oriented Health;2020-11-06T10:56:13;2020-11-05T16:37:32;96529;12362;Division indexing;34381
5;Frozen;2020-11-05T19:08:33;2020-11-06T09:08:39;2020-11-06T00:36:30;District;olive Avon;2020-11-06T02:06:15;2020-11-06T04:33:40;60099;99258;AGP Colorado;5353
6;Branding time-frame;2020-11-05T14:55:30;2020-11-05T18:10:49;2020-11-05T18:49:03;pricing structure Bedfordshire withdrawal;azure Intranet;2020-11-05T16:12:24;2020-11-06T07:49:01;55343;6214;mobile navigating;8345
7;Handmade Rubber Mouse;2020-11-06T09:10:38;2020-11-06T09:01:14;2020-11-06T11:35:59;Multi-channelled Soap Alabama;Wooden;2020-11-06T08:13:31;2020-11-05T23:32:32;4298;35044;Greece;70081
8;emulation;2020-11-06T03:43:24;2020-11-06T07:58:13;2020-11-06T06:51:09;benchmark invoice Small Plastic Chips;transitional alarm;2020-11-06T03:56:46;2020-11-06T07:25:04;84704;3500;Avon Ethiopia Brazilian Real;48218
9;composite Station;2020-11-06T04:24:51;2020-11-06T02:13:51;2020-11-05T16:25:13;New Zealand Dollar multi-byte New Zealand Dollar;neural;2020-11-05T15:19:15;2020-11-06T03:21:51;7191;76627;Jewelery;48009
10;Louisiana Papua New Guinea Manager;2020-11-05T19:56:53;2020-11-06T10:01:22;2020-11-06T10:42:06;Computers deposit;scale;2020-11-06T11:11:12;2020-11-05T15:51:09;7149;75582;parse Bedfordshire;94518
