id;code;name;descr;apprefmngfrm;apprefmngdomain;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Alabama;Soft Georgia;connect input;Colombian Peso Unidad de Valor Real backing up;circuit;2020-11-05T14:51:55;2020-11-05T23:54:11;63891;67400;Computers transmitting;15670
2;Rhode Island Nauru;Club;sky blue Designer didactic;primary Electronics;navigating payment cyan;2020-11-06T00:51:00;2020-11-05T19:14:17;79773;41221;Iowa Group;6320
3;Rustic Soft Keyboard;Identity CFA Franc BEAC best-of-breed;Health;granular;deposit virtual;2020-11-05T13:07:34;2020-11-05T14:53:15;89102;67536;architecture;22385
4;Shirt Refined Frozen Chair;Frozen;invoice;SDD;initiatives panel Research;2020-11-06T03:57:48;2020-11-06T05:41:42;73728;99828;mission-critical Refined Rubber Mouse Handcrafted Frozen Chicken;44975
5;Uzbekistan;Metrics purple bandwidth;Checking Account;Avon capacitor Executive;Incredible Frozen Tuna;2020-11-05T21:26:40;2020-11-05T22:34:49;63455;59645;Associate;14024
6;Vermont Bulgarian Lev distributed;SAS XML Optional;Hong Kong;payment unleash monitor;transmit;2020-11-06T01:26:30;2020-11-06T12:13:24;86087;44709;Officer;42089
7;solution-oriented protocol;Handcrafted Quality;Bike Cordoba Oro enable;Kansas Rand Loti Won;rich;2020-11-06T04:17:04;2020-11-05T21:58:47;2215;891;Fresh;63101
8;Holy See (Vatican City State) Legacy;viral bypassing Advanced;lavender program;CSS User-centric;Horizontal;2020-11-06T00:50:06;2020-11-06T04:36:35;72283;71052;Generic Chilean Peso Unidades de fomento Table;79457
9;connecting Designer;holistic Berkshire;Afghani Hawaii hack;Small;Crossing Marketing Facilitator;2020-11-05T14:43:54;2020-11-05T23:56:33;44136;96058;synergies Centralized payment;60966
10;Optimization Metal Senior;Square 1080p;emulation Ball;scale;e-enable;2020-11-06T02:28:26;2020-11-05T16:32:36;17198;92698;Plastic morph;54631
