id;name;descr;dtvalidfrom;dtvaliduntil;periodunit;period;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;invoice Belgium;open-source;2020-11-06T00:42:59;2020-11-05T21:08:09;MONTH;10876;2020-11-06T10:35:25;2020-11-06T06:02:20;51345;7902;Engineer quantify Steel;19310
2;calculating Hryvnia;feed;2020-11-05T23:32:59;2020-11-06T08:45:38;MILLISEC;89866;2020-11-06T11:46:54;2020-11-05T13:48:30;54742;64608;system;10441
3;Buckinghamshire Movies Supervisor;channels;2020-11-05T16:37:42;2020-11-05T14:52:39;YEAR;47805;2020-11-05T13:59:20;2020-11-06T11:52:28;18433;24975;TCP Electronics;24959
4;expedite synthesizing;index;2020-11-06T11:44:01;2020-11-05T23:44:41;MINUTE;34437;2020-11-06T05:27:36;2020-11-05T17:14:21;71930;1555;transmit utilisation;85902
5;24/365;plum Track South Dakota;2020-11-05T21:35:57;2020-11-06T09:04:37;YEAR;13839;2020-11-05T16:18:52;2020-11-06T01:58:04;3371;23505;Future Assistant;67810
6;USB Upgradable Savings Account;USB Berkshire;2020-11-06T00:34:12;2020-11-06T06:38:08;MINUTE;40421;2020-11-06T09:28:10;2020-11-05T17:40:49;34670;17651;Direct Developer Computer;67995
7;Gibraltar Pound deliver;North Carolina;2020-11-05T21:30:03;2020-11-05T21:04:02;MINUTE;85018;2020-11-06T03:09:31;2020-11-05T23:47:52;89802;18001;Ergonomic Granite Car Rupiah;2994
8;systemic Keyboard Fiji;Small;2020-11-05T21:02:59;2020-11-06T01:14:12;SECOND;69867;2020-11-05T22:11:23;2020-11-06T10:08:06;8615;7316;software port;61844
9;Peru Concrete;Beauty;2020-11-06T02:46:11;2020-11-06T01:15:17;MONTH;75802;2020-11-05T13:52:32;2020-11-05T17:23:58;36284;53847;override Sleek;52059
10;Handmade Sleek Cotton Towels utilize;navigating system;2020-11-05T14:15:06;2020-11-06T06:03:26;SECOND;5539;2020-11-06T09:28:25;2020-11-05T17:37:39;48653;27994;Wooden Steel Health;34099
