id;isocode;name;localname
1;Synergistic neural-net;schemas transmitter;harness Generic Soft Keyboard
2;Cambridgeshire mission-critical;morph Hawaii Open-source;Dynamic Legacy copy
3;Interactions Polarised;Steel innovative Electronics;Cheese
4;circuit;SDD;circuit ADP
5;payment;initiative payment;empowering
6;AGP;tan;scalable
7;lavender card;Illinois parse Rhode Island;Fundamental B2B logistical
8;Internal;relationships El Salvador Borders;Movies Chips
9;Assurance Tactics Buckinghamshire;SSL Steel;well-modulated Tasty Plastic Chair
10;monetize actuating Som;bluetooth open-source foreground;Eritrea IB
