id;code;idxno;paramtype;paramgrpname;valuetype;valueformat;valueunit;value;descr;ownersys;createdt;updatedt;createusr;updateusr;wfstate;wfprocid
1;Money Market Account partnerships;90506;BUSINESS;Money Market Account;TIME;National quantify;Cotton upward-trending Technician;Producer index Progressive;efficient;relationships EXE Norwegian Krone;2020-11-05T15:05:50;2020-11-06T07:46:22;10705;96833;Berkshire circuit protocol;61905
2;Electronics invoice;68316;BUSINESS;Distributed deliverables;DATETIME;Designer Ergonomic Rustic Cotton Bacon;New Jersey;Pennsylvania;optical exuding;protocol;2020-11-05T19:57:07;2020-11-06T03:59:39;74259;8742;COM iterate;58078
3;Future;10950;BUSINESS;ivory New Hampshire;BOOLEAN;systems Tunisian Dinar;Alabama e-enable discrete;azure PNG Gateway;generating Facilitator;Money Market Account;2020-11-06T05:23:08;2020-11-06T01:15:52;1977;49789;connecting;76280
4;Architect override;15244;DOMAINAPP;Technician;DATE;Wooden;Outdoors 4th generation;Credit Card Account Profit-focused;black Focused morph;Monitored;2020-11-06T09:49:51;2020-11-05T13:40:54;17868;8585;superstructure;84705
5;Rustic SQL;86111;APPFRM;revolutionize synthesize;TIME;Washington cyan;North Carolina Borders;infomediaries Avon;vertical networks;open-source National;2020-11-05T15:13:24;2020-11-05T20:24:06;18439;95056;Licensed;78643
6;Liberian Dollar Personal Loan Account Lebanese Pound;40235;APPFRM;deposit Health primary;TIME;Handmade Wooden Pants Maine;Buckinghamshire Cape Verde Escudo;Solutions Kwacha streamline;cyan Refined Wooden Hat supply-chains;Pike;2020-11-06T10:58:25;2020-11-05T12:07:17;4951;14969;payment;21410
7;Buckinghamshire innovate deposit;93910;BUSINESS;azure Berkshire reboot;TIME;Cotton Interactions Awesome;Coves program multi-byte;mindshare Keys;Maryland Games secondary;Belarus;2020-11-05T15:09:07;2020-11-06T11:17:15;20807;77756;Awesome Ethiopian Birr backing up;65078
8;Personal Loan Account;40945;BUSINESS;architect bandwidth;TIME;Pataca;Cambridgeshire;Accounts Orchestrator Home;Table Fantastic;Games;2020-11-05T12:09:27;2020-11-06T07:51:52;9630;85125;Arkansas Gorgeous users;98314
9;sensor Concrete;41473;APPFRM;back up auxiliary facilitate;DATETIME;web-enabled quantifying;Burgs Global Kroon;driver Tunnel;application channels Fish;invoice;2020-11-05T22:34:30;2020-11-06T06:12:31;12664;76717;Technician Metrics virtual;87409
10;Kyrgyz Republic Table haptic;39708;BUSINESS;salmon content plum;DATETIME;systemic customer loyalty;quantify invoice Borders;Strategist;Visionary Washington help-desk;Auto Loan Account Berkshire Eritrea;2020-11-06T02:37:18;2020-11-06T00:37:40;35735;66586;back-end protocol XSS;87212
